Mik	####	####				
   	#Mikk	Mik	0		H	sg n
Pomann	####	####				
      	#Pomann	Pomann	0		H	sg n
kaebab	kaebab	kaeba	b		V	b
:	:	:			Z	
tema	tema	tema	0		P	sg g
    	@tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
pühhapäewa	####	####				
          	#pühapäeva	püha_päev	0		S	sg g
õhto	####	####				
    	#õhtu	õhtu	0		S	sg g
Palwerre	####	####				
        	#Palvere	Palwere	0		H	sg g
kõrtso	####	####				
      	#kõrtsi	kõrts	0		S	adt
läinud	läinud	läinud	0		A	
      	läinud	läinud	0		A	sg n
      	läinu	läinu	d		S	pl n
      	läinud	läinud	d		A	pl n
      	@läinud	mine	nud		V	nud
,	,	,			Z	
kui	kui	kui	0		D	
   	@kui	kui	0		J	
nattokenne	####	####				
          	#natukene	natukene	0		D	
aeg	aeg	aeg	0		S	sg n
seal	@seal	seal	0		D	
    	siga	siga	l		A	sg ad
    	siga	siga	l		S	sg ad
on	ole	ole	0		V	b
  	@on	ole	0		V	vad
Palwerre	####	####				
        	#Palvere	Palwere	0		H	sg g
külla	küla	küla	0		S	adt
     	küll	küll	0		S	adt
     	küll	küll	0		S	sg g
     	küll	küll	0		S	sg p
     	£küla	küla	0		S	sg g
poisid	poi	poi	sid		S	pl p
      	@poisid	poiss	d		S	pl n
Hans	Hans	Hans	0		H	sg n
Wannatoa	####	####				
        	#Vanatoa	Wanatoa	0		H	sg n
,	,	,			Z	
Hans	Hans	Hans	0		H	sg n
Pallo	####	####				
     	#Pallo	Pallo	0		H	sg n
,	,	,			Z	
Hans	Hans	Hans	0		H	sg n
Wiermann	####	####				
        	#Wiermann	Wiermann	0		H	sg n
,	,	,			Z	
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Peek	####	####				
    	#Peek	Peek	0		H	sg n
ja	ja	ja	0		J	
Hinrek	####	####				
      	#Hinrek	Hinrek	0		H	sg n
Kalk	kalk	kalk	0		A	sg n
    	£Kalk	Kalk	0		H	sg n
senna	senna	senna	0		S	sg g
     	senna	senna	0		S	sg n
     	£sinna	sinna	0		D	
tulnud	tul=nud	tul=nud	0		A	
      	tul=nud	tul=nud	0		A	sg n
      	tul=nud	tul=nud	d		A	pl n
      	@tulnud	tule	nud		V	nud
      	tulnu	tulnu	d		S	pl n
,	,	,			Z	
temaga	temaga	tema	ga		P	sg kom
riito	####	####				
     	#riidu	riid	0		S	sg p
kiskunud	kisku=nud	kisku=nud	0		A	
        	kisku=nud	kisku=nud	0		A	sg n
        	kisku=nu	kisku=nu	d		S	pl n
        	kisku=nud	kisku=nud	d		A	pl n
        	@kiskunud	kisku	nud		V	nud
ja	ja	ja	0		J	
saapaid	saapaid	saabas	id		S	pl p
wahhetama	####	####				
         	#vahetama	vaheta	ma		V	ma
kippunud	kippu=nud	kippu=nud	0		A	
        	kippu=nud	kippu=nud	0		A	sg n
        	kippu=nu	kippu=nu	d		S	pl n
        	kippu=nud	kippu=nud	d		A	pl n
        	@kippunud	kippu	nud		V	nud
.	.	.			Z	
Temma	####	####				
     	#tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ka	ka	ka	0		D	
Hans	Hans	Hans	0		H	sg n
Wiermanniga	####	####				
           	#Wiermanniga	Wiermann	ga		H	sg kom
sapaid	####	####				
      	#saapaid	saabas	id		S	pl p
